23, 46, 34, 35, 1.041275e-01
25, 48, 36, 37, 4.651800e-02
27, 50, 38, 39, 6.281466e-02
29, 52, 40, 41, 7.373121e-02
31, 54, 42, 43, 5.928596e-02
33, 56, 44, 45, 1.151042e-01
35, 58, 46, 47, 1.299392e-01
36, 59, 47, 48, 1.171646e-01
37, 60, 48, 49, 7.710741e-02
39, 62, 50, 51, 9.468782e-02
41, 64, 52, 53, 8.196220e-02
2, 27, 14, 15, 8.162076e-03
6, 31, 18, 19, 3.522171e-02
7, 32, 19, 20, 2.489400e-02
8, 33, 20, 21, 1.469093e-02
10, 35, 22, 23, 1.797416e-02
12, 37, 24, 25, 1.914943e-02
14, 39, 26, 27, 3.214623e-02
15, 40, 27, 28, 3.982165e-02
16, 41, 28, 29, 3.564079e-02
17, 42, 29, 30, 3.045118e-02
18, 43, 30, 31, 4.821721e-02
19, 44, 31, 32, 4.557596e-02
20, 45, 32, 33, 5.007620e-02
21, 46, 33, 34, 5.038435e-02
22, 47, 34, 35, 7.200246e-02
26, 51, 38, 39, 4.589539e-02
28, 53, 40, 41, 4.450733e-02
29, 54, 41, 42, 5.994079e-02
30, 55, 42, 43, 3.523521e-02
31, 56, 43, 44, 7.038809e-02
32, 57, 44, 45, 6.905970e-02
33, 58, 45, 46, 9.157810e-02
34, 59, 46, 47, 6.592321e-02
36, 61, 48, 49, 5.554888e-02
38, 63, 50, 51, 5.112994e-02
1, 28, 14, 15, 3.552458e-03
3, 30, 16, 17, 6.763862e-04
5, 32, 18, 19, 1.987723e-02
6, 33, 19, 20, 2.636640e-02
7, 34, 20, 21, 2.469144e-02
9, 36, 22, 23, 1.311251e-02
11, 38, 24, 25, 1.071739e-02
12, 39, 25, 26, 2.423412e-02
13, 40, 26, 27, 2.122810e-02
15, 42, 28, 29, 2.157684e-02
17, 44, 30, 31, 3.205978e-02
19, 46, 32, 33, 2.933765e-02
21, 48, 34, 35, 4.413582e-02
22, 49, 35, 36, 4.753878e-02
23, 50, 36, 37, 1.728969e-02
24, 51, 37, 38, 2.685163e-02
25, 52, 38, 39, 2.397742e-02
27, 54, 40, 41, 2.686984e-02
28, 55, 41, 42, 4.920987e-02
29, 56, 42, 43, 2.046289e-02
30, 57, 43, 44, 4.190541e-02
31, 58, 44, 45, 3.250328e-02
32, 59, 45, 46, 4.742244e-02
33, 60, 46, 47, 3.776073e-02
35, 62, 48, 49, 3.547063e-02
37, 64, 50, 51, 3.567839e-02
2, 31, 16, 17, 3.472584e-03
4, 33, 18, 19, 2.410588e-02
8, 37, 22, 23, 7.326730e-03
10, 39, 24, 25, 1.867628e-02
12, 41, 26, 27, 1.266860e-02
14, 43, 28, 29, 1.330642e-02
16, 45, 30, 31, 1.634512e-02
18, 47, 32, 33, 1.893621e-02
20, 49, 34, 35, 3.429695e-02
21, 50, 35, 36, 2.491135e-02
22, 51, 36, 37, 8.862107e-03
23, 52, 37, 38, 1.901710e-02
24, 53, 38, 39, 2.272437e-02
26, 55, 40, 41, 2.436361e-02
27, 56, 41, 42, 2.877905e-02
28, 57, 42, 43, 1.573972e-02
29, 58, 43, 44, 2.571758e-02
30, 59, 44, 45, 2.495456e-02
31, 60, 45, 46, 2.531238e-02
32, 61, 46, 47, 1.959709e-02
33, 62, 47, 48, 2.142743e-02
34, 63, 48, 49, 1.148960e-02
1, 32, 16, 17, -3.982980e-03
3, 34, 18, 19, 3.778961e-03
4, 35, 19, 20, 1.812035e-02
5, 36, 20, 21, 7.650068e-04
7, 38, 22, 23, 2.711818e-03
9, 40, 24, 25, 9.394080e-03
11, 42, 26, 27, 5.756973e-03
13, 44, 28, 29, 8.463632e-03
15, 46, 30, 31, 1.105694e-02
17, 48, 32, 33, 9.875641e-03
19, 50, 34, 35, 2.562550e-02
21, 52, 36, 37, 6.789295e-03
23, 54, 38, 39, 8.633595e-03
25, 56, 40, 41, 7.674613e-03
26, 57, 41, 42, 1.680798e-02
28, 59, 43, 44, 1.634236e-02
29, 60, 44, 45, 1.294530e-02
30, 61, 45, 46, 1.315195e-02
31, 62, 46, 47, 1.345950e-02
32, 63, 47, 48, 1.306187e-02
33, 64, 48, 49, 9.720209e-03
1, 40, 20, 21, 1.330685e-02
3, 42, 22, 23, 1.107070e-03
5, 44, 24, 25, -8.133732e-04
7, 46, 26, 27, 3.163984e-03
9, 48, 28, 29, 8.783831e-04
11, 50, 30, 31, 4.151445e-03
13, 52, 32, 33, 5.646170e-03
15, 54, 34, 35, -3.865754e-03
1, 52, 26, 27, 3.276565e-04
3, 54, 28, 29, 2.457381e-03
5, 56, 30, 31, -6.806205e-04
