1, 4, 2, 3, 2.437469e+01
17, 20, 18, 19, 1.002395e+02
31, 34, 32, 33, 5.267387e+01
33, 36, 34, 35, 4.825581e+01
35, 38, 36, 37, 2.283969e+01
39, 42, 40, 41, 1.887802e+01
41, 44, 42, 43, 1.638710e+01
43, 46, 44, 45, 1.954088e+01
22, 27, 24, 25, 1.335320e+01
26, 31, 28, 29, 2.114579e+01
39, 44, 41, 42, 9.986306e+00
43, 48, 45, 46, 1.063710e+01
46, 51, 48, 49, 1.215975e+01
1, 8, 4, 5, 2.468312e+00
3, 10, 6, 7, 2.704693e+00
4, 11, 7, 8, 2.070243e+00
6, 13, 9, 10, 4.183572e+00
22, 29, 25, 26, 6.996308e+00
24, 31, 27, 28, 7.025594e+00
26, 33, 29, 30, 6.318081e+00
35, 42, 38, 39, 4.652719e+00
36, 43, 39, 40, 4.681225e+00
40, 47, 43, 44, 4.734926e+00
41, 48, 44, 45, 4.715512e+00
47, 54, 50, 51, 9.104080e+00
49, 56, 52, 53, 1.110442e+01
50, 57, 53, 54, 1.070230e+01
53, 60, 56, 57, 8.910179e+00
2, 11, 6, 7, 1.221079e+00
4, 13, 8, 9, 7.834488e-01
5, 14, 9, 10, 1.587519e+00
7, 16, 11, 12, 1.468777e+00
8, 17, 12, 13, 1.240205e+00
9, 18, 13, 14, 1.497642e+00
10, 19, 14, 15, 9.995936e-01
12, 21, 16, 17, 1.255990e+00
18, 27, 22, 23, 2.026778e+00
19, 28, 23, 24, 2.832388e+00
20, 29, 24, 25, 2.162664e+00
22, 31, 26, 27, 3.543781e+00
24, 33, 28, 29, 4.073569e+00
25, 34, 29, 30, 2.741952e+00
26, 35, 30, 31, 4.087389e+00
27, 36, 31, 32, 2.506212e+00
32, 41, 36, 37, 1.835777e+00
35, 44, 39, 40, 3.005071e+00
36, 45, 40, 41, 2.428392e+00
37, 46, 41, 42, 3.107630e+00
39, 48, 43, 44, 2.736183e+00
40, 49, 44, 45, 3.372159e+00
41, 50, 45, 46, 3.920825e+00
45, 54, 49, 50, 4.183408e+00
46, 55, 50, 51, 5.110429e+00
47, 56, 51, 52, 5.052176e+00
48, 57, 52, 53, 5.155185e+00
50, 59, 54, 55, 4.290525e+00
51, 60, 55, 56, 6.044474e+00
54, 63, 58, 59, 5.300126e+00
1, 12, 6, 7, 5.764155e-01
3, 14, 8, 9, 3.495051e-01
5, 16, 10, 11, 3.509417e-01
7, 18, 12, 13, 7.341390e-01
9, 20, 14, 15, 3.737717e-01
11, 22, 16, 17, 6.957073e-01
13, 24, 18, 19, 1.713522e+00
15, 26, 20, 21, 1.122522e+00
17, 28, 22, 23, 1.146462e+00
19, 30, 24, 25, 1.571372e+00
21, 32, 26, 27, 1.726070e+00
23, 34, 28, 29, 2.103837e+00
25, 36, 30, 31, 1.718844e+00
27, 38, 32, 33, 1.759737e+00
29, 40, 34, 35, 2.605573e+00
33, 44, 38, 39, 1.125744e+00
35, 46, 40, 41, 1.663191e+00
37, 48, 42, 43, 1.149399e+00
39, 50, 44, 45, 1.985473e+00
41, 52, 46, 47, 1.995676e+00
45, 56, 50, 51, 2.878305e+00
47, 58, 52, 53, 3.306786e+00
49, 60, 54, 55, 1.897895e+00
51, 62, 56, 57, 2.454396e+00
53, 64, 58, 59, 2.913054e+00
2, 15, 8, 9, 1.659840e-01
4, 17, 10, 11, 1.836467e-01
6, 19, 12, 13, 2.079657e-01
8, 21, 14, 15, 1.327597e-01
10, 23, 16, 17, 3.237906e-01
12, 25, 18, 19, 8.284477e-01
14, 27, 20, 21, 5.021194e-01
16, 29, 22, 23, 4.860994e-01
18, 31, 24, 25, 7.049099e-01
20, 33, 26, 27, 1.134475e+00
22, 35, 28, 29, 1.081289e+00
24, 37, 30, 31, 8.666547e-01
26, 39, 32, 33, 1.116008e+00
28, 41, 34, 35, 1.363682e+00
31, 44, 37, 38, 8.332302e-01
32, 45, 38, 39, 6.730201e-01
33, 46, 39, 40, 9.350575e-01
35, 48, 41, 42, 1.419490e+00
36, 49, 42, 43, 9.635594e-01
38, 51, 44, 45, 1.105249e+00
40, 53, 46, 47, 1.295141e+00
42, 55, 48, 49, 1.104772e+00
44, 57, 50, 51, 1.370280e+00
46, 59, 52, 53, 1.498236e+00
48, 61, 54, 55, 9.364996e-01
50, 63, 56, 57, 1.279401e+00
1, 16, 8, 9, 8.462835e-02
5, 20, 12, 13, 1.259739e-01
7, 22, 14, 15, 8.671408e-02
9, 24, 16, 17, 2.081167e-01
11, 26, 18, 19, 4.551101e-01
13, 28, 20, 21, 3.113390e-01
15, 30, 22, 23, 2.881695e-01
17, 32, 24, 25, 3.461488e-01
19, 34, 26, 27, 6.231408e-01
21, 36, 28, 29, 4.778695e-01
23, 38, 30, 31, 4.862761e-01
25, 40, 32, 33, 5.864137e-01
26, 41, 33, 34, 6.361449e-01
27, 42, 34, 35, 7.622907e-01
28, 43, 35, 36, 6.834604e-01
